epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,7742.7,1.10041,4.72349,0.31904,0.62813,0.02467,9.50579,0.94562,0.97064,0.97744,0.7321,0.80907,0.77383,0.75548,0.27066,0.94095,3.44586,0.37248,0.3737,0.03255,0,0.0010496,0.0010496,0.0010496
26,8053.61,1.08999,4.72089,0.32336,0.61336,0.02445,9.45972,0.95121,0.96157,0.97789,0.73631,0.82155,0.79481,0.76025,0.27024,0.93207,3.39949,0.37536,0.38334,0.03255,0,0.00101,0.00101,0.00101
27,8363.6,1.0776,4.60136,0.31844,0.61116,0.024,9.26475,0.9448,0.96492,0.97824,0.73796,0.82763,0.80915,0.78091,0.28317,0.92996,3.40266,0.36654,0.37292,0.03241,0,0.0009704,0.0009704,0.0009704
28,8673.75,1.06461,4.62067,0.31719,0.59961,0.02387,9.23062,0.9415,0.97343,0.97809,0.7283,0.82304,0.79565,0.77243,0.28806,0.94557,3.34536,0.37703,0.37654,0.03294,0,0.0009308,0.0009308,0.0009308
29,8984.01,1.03936,4.50117,0.31703,0.5831,0.02309,9.03769,0.94282,0.97416,0.97619,0.74927,0.83279,0.81033,0.78771,0.30155,0.89809,3.28482,0.37363,0.34457,0.03125,0,0.0008912,0.0008912,0.0008912
30,9294.22,1.03711,4.45347,0.31468,0.58862,0.02307,9.04312,0.95059,0.96183,0.9742,0.74353,0.83046,0.82208,0.78855,0.30669,0.89594,3.23798,0.36697,0.3536,0.03117,0,0.0008516,0.0008516,0.0008516
31,9604.73,1.02794,4.40685,0.31404,0.57544,0.02272,8.93593,0.95204,0.96754,0.97829,0.7498,0.83588,0.81645,0.79584,0.30975,0.87856,3.23024,0.36101,0.33912,0.03052,0,0.000812,0.000812,0.000812
32,9914.57,1.01462,4.32095,0.31198,0.56647,0.02268,8.88548,0.95326,0.97005,0.97502,0.75928,0.85535,0.81914,0.80369,0.31965,0.85496,3.15857,0.36874,0.34776,0.02944,0,0.0007724,0.0007724,0.0007724
33,10224.9,1.01111,4.28581,0.30893,0.55944,0.02255,8.77215,0.94865,0.96653,0.97531,0.75844,0.85265,0.82913,0.80507,0.32736,0.85753,3.11562,0.35862,0.34794,0.02939,0,0.0007328,0.0007328,0.0007328
34,10534.6,1.00089,4.23847,0.30943,0.56464,0.02213,8.72857,0.94545,0.97181,0.97521,0.75541,0.84478,0.83324,0.80258,0.32171,0.87781,3.11386,0.36237,0.34405,0.03021,0,0.0006932,0.0006932,0.0006932
35,10844.7,1.00066,4.19952,0.30805,0.54964,0.02231,8.67121,0.95148,0.96718,0.97621,0.76127,0.86882,0.84263,0.82548,0.33831,0.8408,3.06341,0.3601,0.3351,0.02907,0,0.0006536,0.0006536,0.0006536
36,11154.2,0.99036,4.1669,0.30716,0.53497,0.02191,8.53514,0.94846,0.97259,0.97717,0.7676,0.85448,0.83382,0.81974,0.34162,0.84941,3.07969,0.36159,0.34033,0.0292,0,0.000614,0.000614,0.000614
37,11465,0.97168,4.05485,0.30602,0.5304,0.02146,8.39409,0.95189,0.9771,0.9764,0.76375,0.86316,0.84087,0.82004,0.34095,0.83777,3.00752,0.35541,0.55366,0.02881,0,0.0005744,0.0005744,0.0005744
38,11774.8,0.96483,4.08404,0.30675,0.52899,0.02145,8.39325,0.94721,0.97991,0.97927,0.77143,0.86537,0.8485,0.83082,0.35552,0.82817,2.9861,0.35908,0.32526,0.02845,0,0.0005348,0.0005348,0.0005348
39,12084.1,0.96689,3.9916,0.30553,0.52185,0.02143,8.36071,0.96138,0.96359,0.97772,0.77489,0.87305,0.84909,0.83109,0.35495,0.80237,2.97784,0.35342,0.31409,0.02748,0,0.0004952,0.0004952,0.0004952
40,12393.6,0.95109,3.98145,0.30302,0.52406,0.02105,8.30079,0.95409,0.97616,0.97879,0.78033,0.86871,0.85261,0.83464,0.35796,0.80457,2.93585,0.35735,0.31896,0.02758,0,0.0004556,0.0004556,0.0004556
41,12732.5,0.80018,2.86988,0.3687,0.32024,0.02496,9.37777,0.95471,0.97475,0.98123,0.78364,0.8704,0.85972,0.84169,0.36789,0.79072,2.90361,0.34185,0.31248,0.02696,0,0.000416,0.000416,0.000416
42,13041.5,0.76864,2.79331,0.36389,0.30499,0.0237,9.12125,0.94641,0.98121,0.98113,0.78662,0.87569,0.86041,0.84561,0.37116,0.77992,2.89983,0.34055,0.30545,0.02656,0,0.0003764,0.0003764,0.0003764
43,13349.9,0.7576,2.72924,0.36,0.29362,0.02329,9.03327,0.96046,0.96981,0.98077,0.7894,0.87742,0.86025,0.84729,0.37382,0.77093,2.87304,0.33876,0.29865,0.02613,0,0.0003368,0.0003368,0.0003368
44,13658.5,0.73409,2.66355,0.35939,0.29253,0.02257,8.89481,0.9596,0.97626,0.98035,0.79326,0.88789,0.86503,0.85395,0.38155,0.76128,2.84669,0.33786,0.29939,0.02581,0,0.0002972,0.0002972,0.0002972
45,13967.2,0.7192,2.62246,0.3562,0.2797,0.02205,8.8316,0.96091,0.97592,0.98068,0.79929,0.88028,0.86783,0.8501,0.38292,0.74782,2.82238,0.33745,0.29567,0.0253,0,0.0002576,0.0002576,0.0002576
46,14276.6,0.70492,2.59334,0.35468,0.27535,0.02151,8.72965,0.96713,0.96752,0.9824,0.79692,0.886,0.87375,0.85847,0.38427,0.7502,2.81273,0.33588,0.29151,0.02543,0,0.000218,0.000218,0.000218
47,14584.9,0.69162,2.54406,0.35313,0.26824,0.02111,8.66823,0.9644,0.97022,0.98245,0.80048,0.88822,0.86612,0.86037,0.3883,0.73781,2.81874,0.3351,0.29187,0.02488,0,0.0001784,0.0001784,0.0001784
48,14892.9,0.68637,2.49746,0.35238,0.26573,0.02085,8.53255,0.95861,0.9771,0.98222,0.80274,0.88188,0.87238,0.85732,0.38695,0.73977,2.80307,0.33464,0.28937,0.02499,0,0.0001388,0.0001388,0.0001388
49,15201.1,0.67974,2.47572,0.35317,0.26451,0.0207,8.51447,0.96274,0.97097,0.983,0.8036,0.88151,0.86729,0.85194,0.38946,0.73913,2.79983,0.3346,0.29124,0.02498,0,9.92e-05,9.92e-05,9.92e-05
50,15509.4,0.67176,2.47078,0.35155,0.2588,0.02054,8.53567,0.96389,0.97194,0.9823,0.80286,0.88502,0.87082,0.85226,0.38854,0.73644,2.7972,0.33405,0.28885,0.02484,0,5.96e-05,5.96e-05,5.96e-05
